review_text,label
I have subscribed to the nook version for a few years now and thoroughly enjoy this magazine. It has enough tech and what's new to keep me happy.,4
This magazine is just ok. I ended up subscribing to pc world instead. They are more for the technician and not just the cusumer.,3
I have been a Maximum PC reader since its beginning and still read it cover to cover. Awesome magazine. Love it,5
"There articles are alright, but they screw you on the amount you get as i only got 10 of the 12 months subcription. so be carefull unless you are on the auto renew.",3
Excellent product! I love reading through the magazine and learning about the cool new products out there and the cool programs!,5
"I like Maximum PC magazine, but when I received my first copy it came without the CD. I will not renew my subsciption.",3
First time ordering this magazine.  It was a little more upscale then I am.  It did not cover much that I am interested.,3
Nothing to it.  Just an advertisement.  Little article content.,1
I've only gotten one so far I don't know why,1
they changed the magazine and it's just trash. i canceled my subscription.,1
sucks (period),1
it is great read and great ideas for today's men .. great price.. buy it today.. go for it :),5
Really affordable subscription compared to GQ and other magazines. I also like the fact that they show clothing form different price ranges and not just high end like GQ does.,4
Very dissapointed. I love this magazine and was very dissapointed to find out the cd's were not included with the subscription.,3
"waste of my money and worse, waste of my time.....",1
This magazine has become so boring! Disappointed in the content and reviews.,1
Allure sent me 3 magazines in the space of a month in order to get rid of back issues. Very disappointed.,1
Doesn't support my Kindle paperwhite,1
"I'm a female, but I like this magazine just to see how guys are haha.
Layout, design, and articles are enjoyable.
and good price for a year round subscription.",4
This magazine doesn't really have much to it. I'm glad I got the subscription for free!,3
I was subscribed to the magazine for many years and USED to love it.  I hate this kindle edition.  All ads.  Cannot find a place to unsubscribe.  Help !,1
A must for all bottom-dwellers,5
Does not work on Kindle for WP.,1
"A+++ I bought this for my son-in-law a few years ago, and renew it every year as an ongoing Christmas gift. He loves it!!!",5
"I'm sure someone else would love this magazine, it just wasn't for me.",2
"this mag has gone downhill in my estimation since they got rid of the former editor Linda Wells after 20 years or so. too bad, it was so great before. cancelling my subscription.",2
Great magazine with lots of new beauty products to learn about.,4
Lot of advertisements,3
"We ordered it in December, its now the end of February, the 10 weeks are up.  Where is the magazine?",1
Packed with so much information.  I look forward to getting it each time.,5
I found it boring.,2
"I have a print subscription, and I'm excited to have this on my Kindle as well.",4
interesting magazine for DYI'ers...,4
Great price. Love it.,5
Where did my magazines go? I only received one issue since last year!!!!!!!!!!!!,1
"I really like this magazine with its in depth insight into the PC and related software. If you like PC info, software, some hardware hacks and more you'll like this magizine.",4
Even though I tried to download the magazine it would not . Now I have this with no way to get it.,1
Want to canceled Now... Thank you.,1
Do not like,1
Can't give a review on Maximum PC.  Never received the magazine.  Instead I was sent the men's magazine FHM.  Please send my Maximum PC.,1
Love this magazine! Never disappoints!,5
Always filled with tons of free samples and interesting information. Love this magazine.,5
Every issue I learn something new and I've been doing woodwork for many years.,5
"Love this magazine. As a female, can't live without it. Filled with awesome tips and tricks, build plans, and inspiring ideas",5
