review_text,label
Difficult to use; prefer paper copy.,0
Magazine has gone off the rails.,0
i have ordered a trial of this magazine almost two months ago and still have not received a single copy,4
Read above. I have tried other magazines about diabetes and this one is tops. I have suggested to friends and family.,4
A wonderful book. Stories are about real people and are true. I have read guidepost for years.,4
A great publication for pilots.,4
I love this magazine and this is such a great deal you would be stupid to turn it down.,4
"Ordered the magazine in August and was told it would not start until December, it better be worth the wait, will not renew script, birthday gift turned Christmas gift.",0
"Renewing this magazine is a mistake, as all the info is recycled over time.  Nothing really new after you've received it for a year.",1
Another great magazine for wife.,3
mag is ok it was free so cant really complain but its ok to look at,2
Considering the magazine will not download even one star is too many. I will be calling for a full refund.,0
Too many advertisements for me.,2
Love the paper but managing the subscription has been a nightmare.  Probably won't renew again.,0
Loved reading it in the nail parlor but the ads have changed. Not enough good deals. Used to have fabulous little inserts. Where are they? Disappointing clothes.,0
I Love Crochet World!  You can always find fun patterns.  I enjoy getting it and just looking!,4
never subscribed to this magazine,0
We aren't using it as much as we thought we would. Primetime schedule only; no day time.,2
As of May 17 I have yet to receive my first issue so I cannot recommend it. It is disapointing that it is taking so long to begin my subscription.,1
I ordered a subscription for my husbands birthday.  The first issue arrived perfectly ontime and he was thrilled with the gift.,4
Awesome  ,4
"Very buggy for kindle fire (not HD). Weekly Cheat Sheet(formerly what to watch) NEVER works.
Also, you can't zoom in on photos.
Bad app.",0
Love this magazine and it came quicker than it said.,4
"I was excited about getting this.  But since January, I've only received one issue.  I'm kind of disappointed in that.",2
Font way too small for a 7inch tablet. When  enlarged it on my hdx everything was out of focus.,0
"Excellent magazine for those of us that live in Ohio and like to go to festivals, places in and around Ohio.",4
Such a great magazine to relieve free as a Prime Member. Love it!,4
I didn't mind the magazine. It had some good recipes. I stopped reading when I got to the Monsanto add. What a sell out.,0
Really not good.,0
I'm reading it on my kindle and it's difficult to get to different sections. That's my only complaint on the magazine,2
"Started receiving my issues a few weeks after I ordered them and there's been no problems, just a great deal!",3
Retains the flavor of old time hunting with a delivery time of 3 to 4 months for first issue.,0
Overall the magazine is pretty good. Easy reading. Gives me something to do for about 15 min's a month. Came during the time advertised.,3
Subscription not received,0
"This seems to be more about interior design, not construction issues and/or remodeling.",1
"I haven't received magazine yet or any notification as to when I will get it
It would be nice to know when i can stop buying it in store",0
"I loved this magazine, but they recently went out of business. Don't subscribe. I heard they were still taking subscriptions but there will be no future magazines.",2
This is the magazine we all grew up with now on our Kindle. Absolutely captivating articles and pictures that will take you to the moment. I LOVE THIS MAGAZINE!!!!,4
Not much info for me,2
Maxim has gone downhill over the years.  More of a yuppie mag now than appealing to the average Joe.,2
"Yes, I've taken P.S. Life for years and enjoy it",3
Its has been my favorite magazine since I was 18 years old.  Im 48 now.,4
This magazine has products and clothing that the average person couldn't afford. Other than than it was just ads. I cancelled after my trial.,0
My favorite mag. Good price as well,4
It has been more than 8 weeks since Iplaced my order  and I still have not received my first issue.  Very disappointed in how long it takes to get the subscripton going.,0
Best motorcycle magazine.  Objective and truthful source of information about all things motorcycle.,4
"I received a letter telling me that they were not publishing the magazine anymore, and replaced it with Glamour, so no, not happy.",0
Great ideas with food recipes!,3
I have two Kindles and an iPad on the way and can't get an app for the magazine? I have a subscription also. Agravating! Can't even get an app for it. Why?,0
very good but hard time getting larger words but love getting the month free offer i probably will continue to buy it,3
it is so much smaller than I expected but the kids will like it I hope.,2
"Sick adverts Pop Mechanics. Literally almost every other page has an ad on it, mostly about cars or tobacco related paraphernalia. 1/10, would not read again",0
So many ads not enough recipes.,0
Some of the writing was clinical and detached. Some was very lively and fun. The poetry was nice. Very good value for the money.,3
I enjoy the variety of recipes,3
"The writing can be good at times but honestly, if you're not into narrative style sports writing, you're better off with another publication.",2
Delivery is right on time. I love the recipes.,4
Us Weekly cannot go a week without a Kardashian on the cover.  I am sick of hearing about this family.  I didn't renew my subscription.,2
I have learned something from every issue and this is my 3rd year of reading this mag. I highly recoment it,4
It was okay but over priced,1
This is the best gift that I could give my oh so sports minded nephew each and every year on his birthday!  Thank you!,4
"Great price, great magazine.",4
Cancelled my (long time) subscription. Not sure why they feel the need to mix political cuck opinion (Zach Bowman) into a car magazine.,1
Only wish there were more horse classified ads in the magazine,3
"If you're into high fashion, this magazine is for you.  There are way too many advertisements in this magazine when you are reading it.",2
"Too much ads inside, not much content",1
"That's pretty much all. It was supposedly coming on April 26, but it's been ~10 days. Kind of starting to doubt it will arrive.",0
Very good magazine with decent reading materials.,2
"I would love to review on this, but I have yet to receive my subscription! When will I get it??? If I don't get it soon, I will expect to receive a refund.",0
Having this publication on my Kindle is great.  I started reading RD at my aunt's when I was 9 and still love to browse the magazine.  I can do that now anyplace that has WiFi.,3
Have not received any issues since purchase.,0
the subscription is great. I receive a paper copy but I luv having the mag on my kindle. you have more options.,3
"not a real subscription! cannot search for products, only read the current issue",0
1 article and 15 advertisements.,1
"Beautiful photography, informative stories.  One of the best magazines around and one that the whole family can enjoy.  Love it!",4
Provides practical tips and advice for every area in your life.,3
"The perfect bite-sized goodness.  A work of art, a short story and a poem.  I look forward to this every week.",4
This was a gift and I know that my son had enjoyed having it though he didn't request a renewal,2
So happy I could find this on Amazon Magazine subscriptions! This is my husbands favorite and such an easy way to manage it right through my Amazon account.,4
The magazine is chocked full of interesting places to visit and make lasting memories.  I am going to enjoy and make the most of my six issues of this magazine.,3
"Too many ads in the magazine-almost every other page is an ad! Also, many of the stories are fluff, with no real content to them. Not my kind of magazine anymore...",1
"can't be better,a a a a a a a a a  a a a mazon! i love you amazonnnnnnn n n n",4
Too many ads.  Cant tell ads from the recipes.,1
"Great magazine! Smart, intelligent, humorous.",4
I bought this Magazine for my grandson's High School Graduation. He is enjoying it.,0
Great Price - Love Rachael's Mag!,4
When they switched from the old app I can't access any of the back issues I  was saving. Go back to the old app or fix this one.,0
"Not quite what I had hoped for. Too many ads, and too many complicated recipes. Not for me.",1
I am very disappointed because I bought this magazine and it was not delivered and loaded to my device.,0
"Money is a good solid ""Money Magazine"".  I still prefer Kiplinger the best.",3
Wonderful & fun to read.,4
Awesome recipes with easy instructions and good pictures.  I can't wait to get this every month in my mailbox!!  Great addition to the food channel.,4
Best home-decorating magazine ever! Officially considered best in Europe; nothing even comes close in the USA!!!!,4
I tried to order Maxim twice from Amazon and never received it either time.  I will never order a magazine etc. from amazon again!,0
My favorite magazine - and I love subscription auto-renewal,4
Great magazine for reloads,3
Great if you have a device that can read it,0
IT IS A WEIRD MAGAZINE TO READ... IT IS NOT SET UP LIKE A NORMAL MAGAZINE WITH EASY TO FIND ARTICLES BUT MORE OF SHORT DITTIES ON A LARGER VARIETY OF SUBJECTS...,3
never ordered,0
not as great as i hoped. not a lot of interesting recipes inside.,1
