review_id,review_text,label
57,I have been a Maximum PC reader since its beginning and still read it cover to cover. Awesome magazine. Love it,5
97,"If you into gaming, into the latest PC tech info, like reviews of hardware rated 1 thru 10, chomp PC builds, get this rag. @ $12 bucks for 2 years its worth every penny",5
147,This is a great magazine....  Subscribed for many many years.,4
148,sucks (period),1
151,too many ads the whole magazine is ads. I cant believe real men dress like that. I just read the product reviews then throw magazines away don't want anyone to think i like guys.,2
194,"waste of my money and worse, waste of my time.....",1
212,I was subscribed to the magazine for many years and USED to love it.  I hate this kindle edition.  All ads.  Cannot find a place to unsubscribe.  Help !,1
295,Packed with so much information.  I look forward to getting it each time.,5
378,I am enjoying my digital subscription.,3
530,"Do not buy. You get a 4 or 5 issues, then they stop. Contacted Amazon, got 1 more issue then they stopped again. A rip off. We need a NO star option.",1
66117,I did not request or want to renew.  You just did it on your own.  I should not have to pay for it,1
588,"This is the only magazine I subscribe to. Great articles, great fashion and make up tips. It's fantastic tat I can view it on my kindle.",5
598,far too many adds  not enought info,1
602,Always alot of practical articles for around the house. Sometimes has to many ads but overall pretty good articles,4
66144,Great humor as always. Grandson loves it.,5
618,It has only a few good articles (2 or 3) and the rest are just ads.  Simply put too many ads.,3
66190,"Awesome, tons of fun and reading since the 70s.",5
663,Faulty DRM would not allow me to view the magazine on my Fire HD. Was forced by the app to remove the magazine.  Seriously annoyed.,1
66224,"i like the magazine, but can't figure out how to cancel the auto renew.",2
66229,This was a gift for my son and I give him one every year and he looks forward to them every year. He likes it and looks forward to them,4
66250,I ordered this subscription in december and now it is halfway through march. I have not gotten one subcription so far. Im starting to wonder if I was conned out of my own money.,1
66263,It lives up to the reputation. Excellent magazine to share with friends at school. Great read for young adults. Can't wait for the next issue...,4
66301,So happy reading this again. It brings me back to my childhood. Now I can pass it down to my kids.,5
66319,An OK magazine.  Mostly great pictures.,4
784,"Truly enjoyed this issue and the enclosed projects. The information was current and the patterns very well written. Packed full of ideas, concepts and educational articles.",5
834,"If you love to tinker, build and repair you'll love Handyman.",5
869,This is a great magazine for fun reading.,5
870,"Not interested, too many adds.",1
872,"Great, Awesome, Amazing!!!",5
66460,Very informative articles. I'm looking forward to future issues.,4
935,"Do not download, Did not download all the way for me and still was charged very disappointed will not download again",1
951,Won't buy again. Too many advertisements.,1
66492,I feel like I have been waiting years for this mag. I have been trying to eat healthy so I thought this would help still hasn't got here.,3
961,Thought this was a monthly magazine. Buyer receivies one mag every 3 months. Every three months one can almost forget they ordered the magazine.,1
66515,"this is a great magazine, and its on kindle to love it,  This magazine has a great magazine, and cesar's way  is the best",3
66521,"I really enjoyed it,  thanks",4
66532,Seems like a long time but the subscription has not started...wondering if there is a problem. 4 more words required??,1
1013,85% of each issue is ads. I have a subscription to it so I just put it in the recycle bin each time I get it. Pretty disappointing the lack of content!,1
1015,"Boring, repetitive themes. Would probably notbuy again",3
1019,i cant access my subscription and the links don't work. i uninstalled the app and installed it again with no luck.,2
1027,I am very displeased with this.  I tried to cancel my subscription but they would not do so.  I do not want this magazine.,1
1057,Too many ads,2
66651,Transformation Magazine is nourishment for your soul. Connecting with kindred spirits and meditating on positive outcomes is a priority for me. Transformation bridges the gap.,5
66661,"First time ever that I purchased a magazine and this was so worth it. I will purchase the subscription now.
thanks,",5
66670,I found it The Scientist a very interesting magazine to read. The contributors know what they are talking (writing!) about. I can recommend it.,3
66673,No use getting this unless its a colour screen. I tried this on a Kindle and regretted it.,1
66677,i found the magazine interesting but need to see a lot of statistical ways of solving world problems using quantitative and qualitative data.,3
66690,truly amazing.,5
1162,It is a great magazine for men.,5
1170,"Lots of ideas, decorating, recipes",3
1171,Ratio of advertising to articles and ideas is 15-1.  So sad.,2
1193,great magazine!  Came very quickly.,5
1215,Outstanding magazine.,5
1218,"The monthly magazine as well as the emails I get every day have greatly helped my workout routine, my diet, and my wardrobe! It's really cheap too! I highly recommend!",5
1304,SO many ads now... I'm glad I didn't pay full price. Im 28 and viagra ads every other page aren' necessary.,3
1328,"Only have received one magazine, not impressed with this one",2
66895,I do a lot of watercolor paintings. Like using the different horses as models. It's a great magazine to read,3
1396,I don't like this one so cancelled my subscription.,1
67017,If you're interested in birds and flowers this is the magazine for you.  It is excellent.,5
1567,Constantly has to re download. Basically unreadable.,1
1576,"more designed for purchased things, not created things.",2
67118,Birds and Blooms has amazing pictures and interesting articles. I enjoy learning about how to attract birds and butterflies to my garden.,5
1589,A waste of time and trees.  All about pushing ads and products. Few really useful articles. Won't renew.,1
1734,"i ordered  men's health for someone incarcerated,  i year subscribtion., out of  that year they only received 2 magazines.",1
67288,Don't like the changes since Reader's Digest bought them.  Too many ads - not enough articles.  Will not renew.,1
1758,"If you're a man, no other magazine out there compares. A wonderful price, a wonderful gift for those men in your life!",5
67324,Love looking at all the pictures and the stories are great! It takes you back to the good old days. LOVE IT!!,5
1788,Bought this for my husband.  He loves it.  He then passes it on to our son.  Great ideas in the stories.............yes I read it too!!,5
1834,Men's Health is a great magazine & Kindle + physical copies is so convenient. I love it!! Nddj Kidd djdj <--filler words lol,5
1874,"I'm writing a one point review because I never did get the magazine on my kindle.  Wow I thought I subscribed to it a while ago.  Please correct.
Diane Boyle",1
1904,"Ridiculous. Show a few recipes and a couple pictures of $25,000 kitchens and you've got this magazine. The rest is nothing but ads for depression and erectile dysfunction.",1
1954,Don't waste your time unless you have a kindle fire or ipad.  Kindle apps on android phones or tablets are not allowed to load this kindle item.,1
1991,Bought it for my Nana. She loves it,5
2027,My dad loved his birthday present! Thank you!,5
67603,"Great magazine to catch up on the current news with, but I do miss it in paper-form.",4
2080,To much advertisement print is yought to read and subject matter is juvenille I will not be ordering next time,2
2086,"I used to read this magazine year's ago, upon receiving my first issue..I could see it had changed somewhat. But I still enjoy reading it.",4
2144,Received my first two issues on the same day. One i had already purchased a month earlier and the other was the prior months issue! I won't buy subscriptions from here anymore.,1
67735,"Great recipes and I love the article on how to lower your blood pressure,and the whole magazine for healthy eating.",5
67744,"I love all the choices you get with VT.  If you feel like you are always eating the same things over and over, try VT. So many different recipes.  I even enjoy the ads!  Thanks.",5
67745,I WAS DISAPPOINTED IN THIS. MAGAZINE.  IT DIDN'T CONTAIN MUCH INFORMATION THAT I WAS INTERESTED IN.  I WONT CONTINUE RECEIVING IT.,2
2212,Poor articles and tons of ads. I cancelled my subscription.,1
67808,Spectacular and very helpful. The recipes are easy to make and fun to do with all the family members and friends.,5
2285,"Another THIN issue.  Hoping this was a one-time thing.  Will not purchase again, if this continues to be the norm.",2
67837,The best!  Couldn't be without it.,5
2307,Great for tips and tricks to make yourself more knowledgeable. Got a few subscriptions as a gift for a few years now. They love it.,4
2308,GREAT DEAL,4
2325,"All the info a man could possibly need to know on virtually every topic squeezed into one mag, awesome!!",5
67873,I really enjoy this digital copy of the Word Among Us. I use it daily.,5
67891,"I have been looking for a daily meditation and daily prayers. This is exactly what I have been wanting and needing, so glad to have found it!",5
2367,Love to have it on my tablet!,5
2376,Just what I was looking for!,5
67996,best for following Sunday Mass ever.,5
68018,I am greatly enriched by the reflections in the word among us catholic mass edition every time I use it my daily mass preparations.,4
68030,Out standing!! I love the daily reflections. It's a great way to start your day would give a 5 star rating,3
2505,"I cannot get the digital version to download and I wound up being charged for it twice, I use to get it free with my subscription to the paper mag, what gives???",1
2535,"Ordered back in November 13 2015  - says 4-6 weeks on the details page.  as of this date, no magazine.  Not good.",2
68088,I Love the additional thoughts added to the daily mass readings.  A great way to start my day and easy to pull up on my phone or iPad!!,5
2587,Get this for husband and his brother.  They really enjoy talking about the articles.,5
68131,I have been using this magazine for years. I especially like the meditations. The ebook version is easy  to use because the meditations follow the Mass readings.,5
