id,review_text,label,cleanlab_suggested_label,cleanlab_corrected_label,cleanlab_label_quality,cleanlab_action
8,I have subscribed to the nook version for a few years now and thoroughly enjoy this magazine. It has enough tech and what's new to keep me happy.,4.0,,,0.14044476,
11,"I didn't receive a full year.  I only receive the magazine twice.  It's a good magazine, I just didn't receive it as promised.",1.0,,,0.79359984,resolved
20,"I was hoping for more technical than what was there. it seems to be more like ""look how cool this is"" than a technical publication. It's like sport compact car, but for computers.",3.0,,,0.6857825,resolved
29,This magazine is just ok. I ended up subscribing to pc world instead. They are more for the technician and not just the cusumer.,3.0,,,0.8822195,
57,I have been a Maximum PC reader since its beginning and still read it cover to cover. Awesome magazine. Love it,5.0,,,0.99997944,
80,"There articles are alright, but they screw you on the amount you get as i only got 10 of the 12 months subcription. so be carefull unless you are on the auto renew.",3.0,,,0.2030383,
87,Excellent product! I love reading through the magazine and learning about the cool new products out there and the cool programs!,5.0,,,0.9933691,
97,"If you into gaming, into the latest PC tech info, like reviews of hardware rated 1 thru 10, chomp PC builds, get this rag. @ $12 bucks for 2 years its worth every penny",5.0,,,0.7914814,
106,"I like Maximum PC magazine, but when I received my first copy it came without the CD. I will not renew my subsciption.",3.0,,,0.7850859,
108,Great Mag..!!,4.0,,,0.62522763,resolved
114,First time ordering this magazine.  It was a little more upscale then I am.  It did not cover much that I am interested.,3.0,,,0.55680704,
116,Nothing to it.  Just an advertisement.  Little article content.,1.0,,,0.59760535,
118,I've only gotten one so far I don't know why,1.0,,,0.9366298,
120,they changed the magazine and it's just trash. i canceled my subscription.,1.0,,,0.5697577,
140,not interested.,2.0,,,0.36456472,
147,This is a great magazine....  Subscribed for many many years.,5.0,,,0.9960433,resolved
148,sucks (period),1.0,,,0.9364499,
151,too many ads the whole magazine is ads. I cant believe real men dress like that. I just read the product reviews then throw magazines away don't want anyone to think i like guys.,2.0,,,0.6987849,
155,"Extremely similar to GQ, same publisher. You aren't going to get anything from this magazine that you don't get from GQ. Similar to GQ, lots of ads and minimal content.",1.0,,,0.9132165,resolved
172,it is great read and great ideas for today's men .. great price.. buy it today.. go for it :),5.0,,,0.8836185,
180,Really affordable subscription compared to GQ and other magazines. I also like the fact that they show clothing form different price ranges and not just high end like GQ does.,1.0,3.0,,0.2958168,resolved
194,"waste of my money and worse, waste of my time.....",1.0,,,0.9969795,
197,Allure sent me 3 magazines in the space of a month in order to get rid of back issues. Very disappointed.,1.0,,,0.98710513,
199,Minimal content. A very diffrent magazine than several years ago,3.0,4.0,,0.37159103,resolved
200,Doesn't support my Kindle paperwhite,1.0,,,0.95097053,
204,"I'm a female, but I like this magazine just to see how guys are haha.
Layout, design, and articles are enjoyable.
and good price for a year round subscription.",4.0,,,0.77008736,
205,This magazine doesn't really have much to it. I'm glad I got the subscription for free!,3.0,,,0.28160554,
212,I was subscribed to the magazine for many years and USED to love it.  I hate this kindle edition.  All ads.  Cannot find a place to unsubscribe.  Help !,1.0,,,0.8354994,
219,It's useful if you want to buy tools. At least or a little more than half of articles are power tool and other contraptions reviews. I cancelled my subscription after 3 magazines.,1.0,,,0.63684076,resolved
233,A must for all bottom-dwellers,5.0,,,0.96209514,
238,Does not work on Kindle for WP.,1.0,,,0.994272,
239,"A+++ I bought this for my son-in-law a few years ago, and renew it every year as an ongoing Christmas gift. He loves it!!!",5.0,,,0.99937344,
255,"this mag has gone downhill in my estimation since they got rid of the former editor Linda Wells after 20 years or so. too bad, it was so great before. cancelling my subscription.",5.0,,,0.8951839,resolved
256,Great magazine with lots of new beauty products to learn about.,4.0,,,0.581171,
257,Lot of advertisements,3.0,,,0.83293647,
281,"We ordered it in December, its now the end of February, the 10 weeks are up.  Where is the magazine?",1.0,,,0.98865366,
295,Packed with so much information.  I look forward to getting it each time.,4.0,,,0.9284423,resolved
312,I found it boring.,2.0,,,0.4521196,
322,interesting magazine for DYI'ers...,4.0,,,0.9856327,
326,Great price. Love it.,5.0,,,0.99936897,
329,Where did my magazines go? I only received one issue since last year!!!!!!!!!!!!,1.0,,,0.9905935,
335,"I really like this magazine with its in depth insight into the PC and related software. If you like PC info, software, some hardware hacks and more you'll like this magizine.",4.0,,,0.9886204,
341,Even though I tried to download the magazine it would not . Now I have this with no way to get it.,1.0,,,0.9996107,
343,Want to canceled Now... Thank you.,1.0,,,0.78052133,
345,Do not like,1.0,,,0.85213214,
346,"Lots of fashion,and rating new items",4.0,,,0.7658186,
361,"-It keeps me up with the lasest PC technology.

-Reviews are very unbiased

-Too many Game technology articles",4.0,,,0.98779666,resolved
364,Can't give a review on Maximum PC.  Never received the magazine.  Instead I was sent the men's magazine FHM.  Please send my Maximum PC.,1.0,,,0.9998766,
378,I am enjoying my digital subscription.,1.0,,,0.88159025,resolved
381,Too many adds...,2.0,,,0.8100101,
392,Love this magazine! Never disappoints!,5.0,,,0.9997556,
395,Always filled with tons of free samples and interesting information. Love this magazine.,5.0,,,0.99937046,
410,Every issue I learn something new and I've been doing woodwork for many years.,5.0,,,0.9989109,
415,"Love this magazine. As a female, can't live without it. Filled with awesome tips and tricks, build plans, and inspiring ideas",5.0,,,0.9999923,
441,"Love it, my favorite!",5.0,,,0.9998708,
447,All ads and not impressed at all with photos or articles. Cancelled the subscription right away. Not worth the money.,1.0,,,0.77838534,
462,Love this magazine. If you are a DIY person then for the price worth buying.,5.0,,,0.9987255,
473,1 article and 15 advertisements.,2.0,,,0.37069613,
489,Okay.  I wasn't impressed with my first issue so I'll see if I will renew this one.  Not quite what I was looking for.,3.0,,,0.86651725,
490,"Is not more interactive, no more links. I used to love this magazine.",3.0,,,0.64161694,resolved
497,I do not wish to subscribe to this magazine.,1.0,,,0.9897698,resolved
499,"They send to much extra trash with the magazine, the first month came with a renewal notice that my 12 month subscription was about to expire.",3.0,,,0.39060953,
