review_text,label
"I do not like the digital version of Newsweek, not a bit.  It is not handy nor enjoyable at all",1
Not the magazines fault but I thought it would be more based upon travel trailer reviews and less about destinations to go visit.,2
I love that I can open a magazine and EAT everything inside it. It's ALL vegetarian!! The recipes are clearly written out and the photos are incredible!,5
Not relevant,1
"Truly enjoyed this issue and the enclosed projects. The information was current and the patterns very well written. Packed full of ideas, concepts and educational articles.",5
People requires you to have the print edition to have the digital edition.  I don't have the print edition so I could never read the digital edition.,1
Been getting it for over 54 years now.,5
Again...not like it was 30-40 years ago!,3
"This was what my niece requested for Christmas, and she was very specific about this magazine. I trust she is pleased.",4
"I have a subscription for the Digest, but for some strange reason, I have yet to receive January 2010.  I am not happy about this.",3
"This is great and an inspiration to me daily, will need to subscribe so i can get the mass included in the publication. thanks so much",5
"you cannot receive it in your pc desk top kindle app. that sucks,you can keep it.",1
"This team is passionate about sharing the stories of Portland, Maine and its wonderful for the region to have a glossy publication representing it.",5
I wasn't too crazy about these magazines. Just didn't keep my interest. too bad.,3
"Ordered 4 magazines, started receiving subscritions within 30 days.  UNBEATABLE price and fantastic Amazon service as always!",5
Great and easy transaction--fast shipping and product arrived in great condition. I would definitely recommend this seller!,5
"I purchased this a month ago and haven't yet received any copies.  Soooo, the only review I can give at this point is their shipping is slow.",1
My first issue turned me off to this publication. It was police propaganda.,1
Came on time and I bought it for my boyfriend who loves them! Was so happy they came on time!,5
Far too many advertisements and a lot of the info pertains to people with rheumatoid arthritis but I have gotten enough out of it to continue to subscribe.,4
I have a problem with the service. We relieved only two magazines In a year time. Where did the other ones go?,1
"The only text that can be enlarged for reading is the adds. The text for the articles is tiny, disappointing.",1
Not working on the 6th generation Kindle Fire HD 8. Please fix.,1
I am not used to reading magazines on my Kindle.  I think I would rather look at it in paper print.,3
"I love this magazine, a little of everything; decorating, recipes, and lots of outdoor garden ideas.
It's an incredible value!",5
"Ok magazine, other home magazines I like better. Good price thru Amazon.",3
"The magazine is good, but I didn't order a subscription.",3
"The Economist's content is and always has been great.  But an electronic edition that costs the same as the print is pure robbery.  Once it drops in price, I will subscribe.",1
"I love all the choices you get with VT.  If you feel like you are always eating the same things over and over, try VT. So many different recipes.  I even enjoy the ads!  Thanks.",5
"The ""new"" Playboy is an abject failure. I might as well subscribe to that lame and boring rag Esquire. At least it is a lot cheaper.",1
MY FAVORITE MAGAZINE!,5
I have only received 2 copies of the Guideposts!!!!!! I thought I would receive one each month!,1
Not enough info. Too much advertising,2
Excellent articles but expensive.  Worth the money in any case.,4
I got this in July and have only got 1.  You suck,1
"Good magazine I enjoy its travel, food, and decorating information. I like Garden and Gun a little better but they are booth great magazines about what is good in the south.",4
I have read Reader's Digest most of my life. Love the short articles and just love this company.,5
This magazine has the best pictures and articles!,5
Love these! Great price!,5
"I did not start getting it yet, taking a long time, hope I start getting it soon, looking for it to start",1
"This is my FAVORITE magazine of all time. Great articles, recipes and the COUPONS rock...pays for itself with the first issue of savings.",5
Won't open on my Kindle. Won't download even after I entered the code. Good luck to anyone else. Subscription ends soon anyways,1
I was quite disappointed with how long it took to process this order - over 2 months.,1
Not as impressed as I thought I was going to be.,3
Always shows up half way through the Grand Slam.  Be nice if it could come prior to !!!!!!!!,1
was unable to get the free copy on kindle after purchesed hard copy and have it mailed to me monthy,1
Have not received verification as to the extending of my subscription. Waiting!,1
love this mag.,5
Love it...so much good information!!,5
Dumbing down & cheapening.,1
Price was right... $5. Print quality and paper quality leaves a lot to be desired.,4
I have found that Kiplinger's is written for the everyday investor better than most other financial magazines I have looked at.,1
I'm assuming our daughter must be enjoying this gift. It began arriving promptly and she seems to be using it.,3
GREAT MAG,4
"Daughter loves this magazine.  Seems to be very appropriate without out all the current social & cultural ""junk.""",4
"I like to read a magazine, and never have time to wait and read the digital version.",4
Pound for pound the best writing in the biz,5
"I love this magazine!!! A hairdresser and my clients love it<3 it's got everything decorating, cooking, organization, fun stuff to do , diet info etc.",5
These issues are getting very thin of late.,3
All ads and not impressed at all with photos or articles. Cancelled the subscription right away. Not worth the money.,1
Great outdoor magazine. Like three predicts they rate and review. Wish there was more stories.,4
Just reading my first issue...finding it to be an good reintroduction to Catholic point of view.,4
I just received my first issue. I am new to the magazine and love it so far.,4
Awesome and insightful. I've already learned so much and have dropped some stock I shouldn't have had.,5
I am so happy I got my first magazine to one year subscription to scale military modeller international thank u very much best magazine for building model tanks,5
"Its really nice just extremely THIN!  If it gets much thinner, it will have to be called a Periodical.",3
Really great mix of ideas and inspiration - but a few too many dress advertisements - would rather see more styling inspiration,4
My husband enjoys this magazine and we have renewed it for another year.,4
"Purchased for 9 year old grandson who loves sports. Loves sports! Loves to play, watch, and read about.",5
I love this magazine !  and this was a great value.,5
I used to like this magazine. It has really changed and not for the better. I have told friends not to buy it any more.,3
I have the same problem as the other customers.  Never received my magazines even after calling them twice. STAY OUT OF THIS SELLER!,1
I have been long familiar with AMERICA magazine. In fact our former pastor occasionally was published therein. However I don't subscribe as a weekly magazine is a bit toomuch,4
"One of my favorite ""dreaming"" magazines",5
I still have not received this item and am very disappointed about that.  It has been almost 2 months.,1
My husband looks forward to receiving every issue.,5
"unlike my other magazine subscriptions, I'm unable to expand the page, unable to read it, plan to cancel.",1
Too bad there's so many advertisements within.  Probably won't order this particular magazine again as there are so many on the market to choose from.  Thanks.,2
Great tips on hunting the latest gossip and where to go. What kind of products for hunting people use and why.,4
I love this magazine but only received 4 issues from my last subscription. How can I be sure this doesn't happen with my new subscription?,1
Some good articles in there.,3
Consistently one of the best mags in the world!,5
"I am filing this in my Projects to Complete file,  detail in articles are easy to follow and end results very good looking.",4
"I ordered this almost two months ago and never received a print copy.
However, the digital copy is good quality.",1
Very helpful,4
great love this mag can't wait for the next  month,5
"Once again a very informative story from a magazine you would not expect to cover such a very technical subject.
Further proof of a magazine well worth haveing.",4
Love D magazine here in Dallas. Looks fine on any coffee table! Great read too and I renew it every year!,5
"Great magazine. But should be named ""national geographic toddler"". Too simple for my 6 y.o. will be great like for 3-4 y.o.",3
Canceled magazine... nothing in it!,1
"For those of you who have a broad view of the world and food, this is the perfect magazine for you; always novel recipes and articles.",5
Best children's magazine available.,5
The paper this is printed on his practically see-through. I don't even think it would work for clip crafts. And most of the information is available on the internet.,3
"Pretty interesting articles, and refreshing broad topics. Biggest complaint is lots of ad's, but then again its good for them as print magazines are struggling.",4
"New date is not on the label of my newest copy  which I just received.
I am unable to verify the renewel.",1
"This give s me lots of ideas to do with my grandkids ,the one thing I wish was more craft ideas.",4
"I've found several great authors and book series through Forever , it's consistently high quality and draws from tons of diverse sources through the years",5
"Good magazine, it gives you lots of tips and ideas.",4
Received 1 magazine of a year's subscription,1
